ISD-AS,IP,Port,Payload
17-ffaa:0:111a,2550573125,4019,{"NonceB":2234893228}
17-ffaa:0:111b,1207435839,12768,{"NonceB":812586440}
17-ffaa:0:111b,1902806002,1705,{"NonceB":2011714068}
17-ffaa:0:111a,599246640,21368,{"NonceB":893118047}
17-ffaa:0:1117,3577353959,49608,{"NonceB":3170828721}
17-ffaa:0:111a,247783809,47894,{"NonceB":3709024645}
17-ffaa:0:1117,1045412461,55267,{"NonceB":1556789980}
17-ffaa:0:111a,42342978,23025,{"NonceB":2156297507}
17-ffaa:0:1118,1407757709,50376,{"NonceB":3180170116}
17-ffaa:0:111b,4071130758,2927,{"NonceB":947109685}
17-ffaa:0:111b,912517174,52231,{"NonceB":462136315}
17-ffaa:0:111b,1269281497,26617,{"NonceB":807963357}
17-ffaa:0:1118,3402184021,1623,{"NonceB":1073673511}
17-ffaa:0:111b,3437736267,27871,{"NonceB":3648831237}
17-ffaa:0:1117,2544281160,13673,{"NonceB":3207161776}
17-ffaa:0:1118,1793553204,35468,{"NonceB":4038472477}
17-ffaa:0:111b,2107254464,25745,{"NonceB":2563069586}
17-ffaa:0:111b,965411787,44587,{"NonceB":1666188198}
17-ffaa:0:111b,1007407268,39755,{"NonceB":4213490630}
17-ffaa:0:1117,1973774475,48684,{"NonceB":1026047548}
17-ffaa:0:1117,61618719,29247,{"NonceB":331096271}
17-ffaa:0:111a,212389392,46646,{"NonceB":4097640957}
17-ffaa:0:111b,736811715,40690,{"NonceB":1994232598}
17-ffaa:0:111a,42380297,59563,{"NonceB":1664811898}
17-ffaa:0:111b,750178286,53459,{"NonceB":3315377845}
17-ffaa:0:1117,2770093297,39254,{"NonceB":1588896656}
17-ffaa:0:111a,3227772279,14753,{"NonceB":3879616948}
17-ffaa:0:111b,651409912,23392,{"NonceB":3061274284}
17-ffaa:0:1118,1583925691,21675,{"NonceB":3254647679}
17-ffaa:0:1117,939764027,27017,{"NonceB":6456698}
17-ffaa:0:111b,2699193179,24290,{"NonceB":1175586733}
17-ffaa:0:1118,2213581336,28493,{"NonceB":1774747705}
17-ffaa:0:1117,2588576683,16562,{"NonceB":827224423}
17-ffaa:0:111a,3283271281,53186,{"NonceB":541500256}
17-ffaa:0:1117,3629341425,37622,{"NonceB":850623089}
17-ffaa:0:111a,2761834275,63814,{"NonceB":1185312049}
17-ffaa:0:1118,2842739324,45761,{"NonceB":33255402}
17-ffaa:0:1117,619616392,30318,{"NonceB":517975259}
17-ffaa:0:111a,1587389625,55294,{"NonceB":3172077598}
17-ffaa:0:1117,1837885377,4925,{"NonceB":3111164289}
17-ffaa:0:1117,1316926782,57585,{"NonceB":293309954}
17-ffaa:0:1117,3658696504,17693,{"NonceB":1018022905}
17-ffaa:0:111a,1312057351,36749,{"NonceB":186179210}
17-ffaa:0:1118,1222371239,20252,{"NonceB":3746762365}
17-ffaa:0:111a,3615365571,20009,{"NonceB":981928529}
17-ffaa:0:1117,1409241818,61111,{"NonceB":2471505512}
17-ffaa:0:111b,905478189,33307,{"NonceB":670945497}
17-ffaa:0:1117,469482122,10723,{"NonceB":2417082375}
17-ffaa:0:1117,4261308874,32350,{"NonceB":3202732527}
17-ffaa:0:1117,480350749,11528,{"NonceB":443539359}
17-ffaa:0:111b,4168500246,46373,{"NonceB":2288669982}
17-ffaa:0:1117,3522492547,57855,{"NonceB":1388263209}
17-ffaa:0:111b,4294296747,31410,{"NonceB":3183934523}
17-ffaa:0:1118,1711352021,7959,{"NonceB":3096217062}
17-ffaa:0:1118,2207792134,47650,{"NonceB":2262282688}
17-ffaa:0:1117,1259391581,47286,{"NonceB":2563405447}
17-ffaa:0:1118,1928503351,45883,{"NonceB":1051407167}
17-ffaa:0:111a,298444879,29222,{"NonceB":3957327129}
17-ffaa:0:1118,328329642,62321,{"NonceB":1486067339}
17-ffaa:0:1118,1899751794,61310,{"NonceB":119179058}
17-ffaa:0:111a,1959253130,63503,{"NonceB":3277250756}
17-ffaa:0:111a,702137332,64780,{"NonceB":3499597591}
17-ffaa:0:111a,46375472,4427,{"NonceB":1828763441}
17-ffaa:0:111b,2413437788,39436,{"NonceB":3338086363}
17-ffaa:0:1117,3959801951,23347,{"NonceB":2411502516}
17-ffaa:0:1118,2040480955,61555,{"NonceB":3962543754}
17-ffaa:0:1117,52520355,49727,{"NonceB":2587391626}
17-ffaa:0:1118,132411549,7020,{"NonceB":3564699513}
17-ffaa:0:1118,1149808331,63027,{"NonceB":2953584146}
17-ffaa:0:1118,314219962,7254,{"NonceB":3088959349}
17-ffaa:0:1118,1615674696,42080,{"NonceB":1570565002}
17-ffaa:0:111a,1652796745,38427,{"NonceB":786714903}
17-ffaa:0:111a,186725761,17401,{"NonceB":2184855847}
17-ffaa:0:111b,1333227581,20137,{"NonceB":1378996911}
17-ffaa:0:1118,3953151346,26770,{"NonceB":2237444487}
17-ffaa:0:111a,1216162803,48062,{"NonceB":1429940853}
17-ffaa:0:111a,3726641007,50810,{"NonceB":1363456492}
17-ffaa:0:111b,1816491000,44917,{"NonceB":2613140175}
17-ffaa:0:1117,1334250987,37097,{"NonceB":737900059}
