ISD-AS,IP,Port,Payload
17-ffaa:0:1118,183233710,29701,{"NonceB":4140069731}
17-ffaa:0:111b,3654961211,43948,{"NonceB":749895063}
17-ffaa:0:111b,1211214553,22600,{"NonceB":3327380665}
17-ffaa:0:1118,3602879919,32084,{"NonceB":2284432860}
17-ffaa:0:1117,3452815753,58531,{"NonceB":4095292217}
17-ffaa:0:1117,438089267,35037,{"NonceB":3360621009}
17-ffaa:0:1118,183233710,29701,{"NonceB":3921803706}
17-ffaa:0:111b,1211214553,22600,{"NonceB":311252953}
17-ffaa:0:111b,3654961211,43948,{"NonceB":2343170605}
17-ffaa:0:1118,3602879919,32084,{"NonceB":1423347297}
17-ffaa:0:1117,3452815753,58531,{"NonceB":3510105659}
17-ffaa:0:111a,2096774279,47517,{"NonceB":290972570}
17-ffaa:0:111a,3416617002,49023,{"NonceB":128646659}
17-ffaa:0:1117,438089267,35037,{"NonceB":4056093634}
17-ffaa:0:1118,183233710,29701,{"NonceB":3055044266}
17-ffaa:0:111b,1211214553,22600,{"NonceB":3710837411}
17-ffaa:0:111b,3654961211,43948,{"NonceB":3419790929}
17-ffaa:0:1118,3602879919,32084,{"NonceB":2373878763}
17-ffaa:0:1117,3452815753,58531,{"NonceB":1615501606}
17-ffaa:0:111a,3416617002,49023,{"NonceB":2108285951}
17-ffaa:0:111a,2096774279,47517,{"NonceB":2629241358}
17-ffaa:0:1117,438089267,35037,{"NonceB":1490467605}
17-ffaa:0:1118,183233710,29701,{"NonceB":808951798}
17-ffaa:0:111b,1211214553,22600,{"NonceB":2951879885}
17-ffaa:0:111b,3654961211,43948,{"NonceB":846011685}
17-ffaa:0:1118,3602879919,32084,{"NonceB":464755391}
17-ffaa:0:1117,3452815753,58531,{"NonceB":2961500551}
17-ffaa:0:111a,2096774279,47517,{"NonceB":881057584}
17-ffaa:0:111a,3416617002,49023,{"NonceB":3475753183}
17-ffaa:0:1117,438089267,35037,{"NonceB":981991075}
17-ffaa:0:1118,183233710,29701,{"NonceB":675651142}
17-ffaa:0:111b,3654961211,43948,{"NonceB":1398290062}
17-ffaa:0:111b,1211214553,22600,{"NonceB":1591233922}
17-ffaa:0:1118,3602879919,32084,{"NonceB":813134590}
17-ffaa:0:1117,3452815753,58531,{"NonceB":4262134177}
17-ffaa:0:111a,2096774279,47517,{"NonceB":4278248485}
17-ffaa:0:111a,3416617002,49023,{"NonceB":2816112915}
17-ffaa:0:1117,438089267,35037,{"NonceB":3777278697}
