ISD-AS,IP,Port,Payload
17-ffaa:0:1117,3476192770,35433,{"NonceB":4204325694}
17-ffaa:0:1118,2275186351,59384,{"NonceB":2038530932}
17-ffaa:0:1117,3476192770,35433,{"NonceB":1956392116}
17-ffaa:0:1118,2275186351,59384,{"NonceB":2930312663}
17-ffaa:0:1117,3476192770,35433,{"NonceB":3794673768}
17-ffaa:0:1118,2275186351,59384,{"NonceB":1704405069}
17-ffaa:0:1117,3476192770,35433,{"NonceB":1225094425}
17-ffaa:0:1118,2275186351,59384,{"NonceB":1209333073}
17-ffaa:0:1117,3476192770,35433,{"NonceB":528184865}
17-ffaa:0:1118,2275186351,59384,{"NonceB":755321769}
17-ffaa:0:1117,3476192770,35433,{"NonceB":529753997}
17-ffaa:0:1118,2275186351,59384,{"NonceB":3051405064}
17-ffaa:0:1117,2247582090,28522,{"NonceB":4217803227}
17-ffaa:0:1118,734549042,39105,{"NonceB":3885502352}
17-ffaa:0:1117,2247582090,28522,{"NonceB":2598982957}
17-ffaa:0:1118,734549042,39105,{"NonceB":2657975669}
17-ffaa:0:1118,734549042,39105,{"NonceB":2506461934}
17-ffaa:0:1117,2247582090,28522,{"NonceB":4275960445}
17-ffaa:0:1118,734549042,39105,{"NonceB":1862120464}
17-ffaa:0:1117,2247582090,28522,{"NonceB":2270031081}
17-ffaa:0:1118,734549042,39105,{"NonceB":106915465}
17-ffaa:0:1117,2247582090,28522,{"NonceB":4109861348}
17-ffaa:0:1118,734549042,39105,{"NonceB":564526500}
17-ffaa:0:1117,2247582090,28522,{"NonceB":3290989087}
17-ffaa:0:1118,2298943909,40639,{"NonceB":490537737}
17-ffaa:0:1117,1327530175,13119,{"NonceB":3596131479}
17-ffaa:0:1118,2298943909,40639,{"NonceB":1389005349}
17-ffaa:0:1117,1327530175,13119,{"NonceB":3684270041}
17-ffaa:0:1118,2298943909,40639,{"NonceB":3604057532}
17-ffaa:0:1117,1327530175,13119,{"NonceB":4082182135}
17-ffaa:0:1118,2298943909,40639,{"NonceB":414438575}
17-ffaa:0:1117,1327530175,13119,{"NonceB":98720961}
17-ffaa:0:1118,2298943909,40639,{"NonceB":4073169651}
17-ffaa:0:1117,1327530175,13119,{"NonceB":3110744842}
17-ffaa:0:1118,2298943909,40639,{"NonceB":2252425411}
17-ffaa:0:1117,1327530175,13119,{"NonceB":2070300401}
17-ffaa:0:1118,295177085,63391,{"NonceB":155641876}
17-ffaa:0:1117,847072289,17761,{"NonceB":576105626}
17-ffaa:0:1118,295177085,63391,{"NonceB":1022300034}
17-ffaa:0:1117,847072289,17761,{"NonceB":2141653546}
17-ffaa:0:1118,295177085,63391,{"NonceB":640808259}
17-ffaa:0:1117,847072289,17761,{"NonceB":3594528817}
17-ffaa:0:1118,295177085,63391,{"NonceB":146993933}
17-ffaa:0:1117,847072289,17761,{"NonceB":3691316899}
17-ffaa:0:1118,295177085,63391,{"NonceB":1915184159}
17-ffaa:0:1117,847072289,17761,{"NonceB":1514443491}
17-ffaa:0:1118,295177085,63391,{"NonceB":2205817496}
17-ffaa:0:1117,847072289,17761,{"NonceB":3068595745}
17-ffaa:0:1118,1859000968,6417,{"NonceB":1431360957}
17-ffaa:0:1117,1694284102,25980,{"NonceB":3969805474}
17-ffaa:0:1118,1859000968,6417,{"NonceB":3351178608}
17-ffaa:0:1117,1694284102,25980,{"NonceB":233519384}
17-ffaa:0:1118,1859000968,6417,{"NonceB":2633598971}
17-ffaa:0:1117,1694284102,25980,{"NonceB":3924351835}
17-ffaa:0:1118,1859000968,6417,{"NonceB":1763157294}
17-ffaa:0:1117,1694284102,25980,{"NonceB":3901094649}
17-ffaa:0:1118,1859000968,6417,{"NonceB":2130745513}
17-ffaa:0:1117,1694284102,25980,{"NonceB":2020192247}
17-ffaa:0:1118,1859000968,6417,{"NonceB":2706311867}
17-ffaa:0:1117,1694284102,25980,{"NonceB":1562168184}
17-ffaa:0:1118,862343049,29725,{"NonceB":828749299}
17-ffaa:0:1117,3982824652,31128,{"NonceB":2509430714}
17-ffaa:0:1118,862343049,29725,{"NonceB":2126732620}
17-ffaa:0:1117,3982824652,31128,{"NonceB":2212884853}
17-ffaa:0:1118,862343049,29725,{"NonceB":828097272}
17-ffaa:0:1117,3982824652,31128,{"NonceB":534676042}
17-ffaa:0:1118,862343049,29725,{"NonceB":314036687}
17-ffaa:0:1117,3982824652,31128,{"NonceB":4113241257}
17-ffaa:0:1118,862343049,29725,{"NonceB":3207571666}
17-ffaa:0:1117,3982824652,31128,{"NonceB":1340139066}
17-ffaa:0:1118,862343049,29725,{"NonceB":3311972153}
17-ffaa:0:1117,3982824652,31128,{"NonceB":642913941}
17-ffaa:0:1118,2057587769,31097,{"NonceB":4141162939}
17-ffaa:0:1117,3931568267,47633,{"NonceB":4176694533}
17-ffaa:0:1118,2057587769,31097,{"NonceB":2868095097}
17-ffaa:0:1117,3931568267,47633,{"NonceB":3377984279}
17-ffaa:0:1118,2057587769,31097,{"NonceB":3629904396}
17-ffaa:0:1117,3931568267,47633,{"NonceB":3800259288}
17-ffaa:0:111a,904792356,56626,{"NonceB":2477319202}
17-ffaa:0:1118,2057587769,31097,{"NonceB":2193940059}
17-ffaa:0:1117,3931568267,47633,{"NonceB":2214860768}
17-ffaa:0:1118,2057587769,31097,{"NonceB":3650362642}
17-ffaa:0:1117,3931568267,47633,{"NonceB":4054433308}
17-ffaa:0:1118,2057587769,31097,{"NonceB":2294756669}
17-ffaa:0:1117,3931568267,47633,{"NonceB":1025896361}
17-ffaa:0:1118,3932745445,4072,{"NonceB":1109192948}
17-ffaa:0:1117,1416430065,15423,{"NonceB":783699}
17-ffaa:0:1118,3932745445,4072,{"NonceB":3503792686}
17-ffaa:0:1117,1416430065,15423,{"NonceB":526863279}
17-ffaa:0:1118,3932745445,4072,{"NonceB":2641385625}
17-ffaa:0:1117,1416430065,15423,{"NonceB":4209420156}
17-ffaa:0:1118,3932745445,4072,{"NonceB":2321878739}
17-ffaa:0:1117,1416430065,15423,{"NonceB":332548042}
